Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","100n","C_0603_1608Metric",106.000000,-68.275000,-90.000000,bottom
"C4","100n X7R","C_0603_1608Metric",91.449000,-75.000000,180.000000,bottom
"C5","100n X7R","C_0603_1608Metric",104.449000,-83.000000,0.000000,bottom
"C6","3.9n C0G","C_0603_1608Metric",104.449000,-85.000000,0.000000,bottom
"C7","100n","C_0603_1608Metric",114.500000,-61.000000,-90.000000,bottom
"C8","10n","C_0603_1608Metric",91.449000,-79.000000,0.000000,bottom
"C9","2.2u","C_0805_2012Metric",83.500000,-98.000000,-90.000000,bottom
"C10","10n","C_0603_1608Metric",85.000000,-84.500000,180.000000,bottom
"C11","100n","C_0603_1608Metric",96.000000,-114.000000,-90.000000,bottom
"C12","100n","C_0603_1608Metric",102.000000,-102.000000,-90.000000,bottom
"C13","100n","C_0603_1608Metric",113.500000,-80.000000,-90.000000,bottom
"C14","100n","C_0603_1608Metric",82.365000,-124.899000,-90.000000,bottom
"C15","100n","C_0603_1608Metric",87.365000,-112.899000,-90.000000,bottom
"C16","2.2u","C_0805_2012Metric",92.000000,-136.000000,-90.000000,bottom
"C17","100n","C_0603_1608Metric",135.000000,-84.500000,0.000000,bottom
"C18","2.2u","C_0805_2012Metric",114.050000,-93.000000,0.000000,bottom
"C19","100n","C_0603_1608Metric",118.500000,-114.000000,-90.000000,bottom
"C20","100n","C_0603_1608Metric",122.466000,-102.000000,-90.000000,bottom
"C21","2.2u","C_0805_2012Metric",128.000000,-136.000000,-90.000000,bottom
"C22","100n","C_0603_1608Metric",126.750000,-115.250000,-90.000000,bottom
"C23","100n","C_0603_1608Metric",132.750000,-103.250000,-90.000000,bottom
"C24","100n X7R","C_0603_1608Metric",135.000000,-81.500000,0.000000,bottom
"C25","3.9n C0G","C_0603_1608Metric",135.000000,-83.000000,0.000000,bottom
"C26","10n","C_0603_1608Metric",121.000000,-79.500000,180.000000,bottom
"C27","100n X7R","C_0603_1608Metric",121.000000,-75.500000,180.000000,bottom
"D4","1N4007","D_SOD-323",113.485778,-99.728240,-15.000000,bottom
"D5","1N4007","D_SOD-323",110.271760,-97.985778,-105.000000,bottom
"Q1","BC847","SOT-23",120.062500,-84.550000,-90.000000,bottom
"Q2","BC847","SOT-23",102.500000,-91.437500,90.000000,bottom
"R1","10k","R_0603_1608Metric",83.865000,-112.899000,90.000000,bottom
"R2","39k","R_0603_1608Metric",82.365000,-112.899000,90.000000,bottom
"R3","1k","R_0603_1608Metric",82.000000,-136.000000,90.000000,bottom
"R4","39k","R_0603_1608Metric",86.365000,-124.899000,90.000000,bottom
"R5","39k","R_0603_1608Metric",96.000000,-102.000000,90.000000,bottom
"R6","10k","R_0603_1608Metric",85.365000,-112.899000,90.000000,bottom
"R7","10k","R_0603_1608Metric",98.000000,-102.000000,90.000000,bottom
"R8","1k","R_0603_1608Metric",110.596720,-111.061318,0.000000,bottom
"R9","1k","R_0603_1608Metric",102.000000,-136.000000,90.000000,bottom
"R10","270","R_0603_1608Metric",91.449000,-77.000000,180.000000,bottom
"R11","267k","R_0603_1608Metric",104.449000,-81.000000,180.000000,bottom
"R12","4k3","R_0603_1608Metric",104.449000,-79.000000,0.000000,bottom
"R13","10k","R_0603_1608Metric",92.000000,-89.000000,-90.000000,bottom
"R14","49k9","R_0603_1608Metric",84.000000,-68.500000,180.000000,bottom
"R15","10k","R_0603_1608Metric",100.000000,-102.000000,90.000000,bottom
"R16","267k","R_0603_1608Metric",84.000000,-67.000000,180.000000,bottom
"R17","10k","R_0603_1608Metric",84.000000,-65.500000,180.000000,bottom
"R18","49k9","R_0603_1608Metric",97.000000,-125.000000,0.000000,bottom
"R19","49k9","R_0603_1608Metric",97.000000,-127.000000,0.000000,bottom
"R20","499k","R_0603_1608Metric",91.449000,-81.000000,0.000000,bottom
"R21","499k","R_0603_1608Metric",91.449000,-83.000000,0.000000,bottom
"R22","10k","R_0603_1608Metric",85.000000,-86.000000,0.000000,bottom
"R23","4k3","R_0603_1608Metric",105.000000,-88.000000,0.000000,bottom
"R24","10k","R_0603_1608Metric",105.000000,-89.500000,180.000000,bottom
"R25","1k","R_0603_1608Metric",112.000000,-80.000000,-90.000000,bottom
"R26","1k","R_0603_1608Metric",100.000000,-114.000000,-90.000000,bottom
"R27","10k","R_0603_1608Metric",121.500000,-88.000000,180.000000,bottom
"R28","49k9","R_0603_1608Metric",97.000000,-123.000000,180.000000,bottom
"R29","4k3","R_0603_1608Metric",103.500000,-61.000000,90.000000,bottom
"R30","1k","R_0603_1608Metric",100.500000,-61.000000,-90.000000,bottom
"R31","4k3","R_0603_1608Metric",87.000000,-49.000000,180.000000,bottom
